Italiano,English,Uses in OpenSubtitles 2018
e,And,7389373
non,Not,6257811
che,that,6063914
di,from,5880995
la,there,3887197
il,the,3726599
un,a,3555300
a,to,3451723
per,for,2866558
è,is,2559257
in,in,2156931
una,a,2153925
mi,me,2013071
sono,I am,2005178
ho,I have,1823350
l',L',1819882
si,yes,1772472
ha,has,1662783
ma,but,1650248
lo,the,1507340
cosa,What,1462858
con,with,1440540
no,no,1433410
le,the,1425870
ti,you,1405833
se,self,1328637
da,from,1309931
i,the,1281797
come,how,1248657
io,I,1147459
ci,there,1131202
hai,you have,1037387
questo,this,1011634
bene,well,978877
qui,here,927883
sei,six,921410
del,of the,886758
tu,you,847129
solo,alone,791998
mio,my,752241
al,to the,745025
me,myself,742942
tutto,everything,704866
c',there,684182
te,you,681861
era,was,657610
della,of the,630649
mia,my,610137
fatto,done,599010
fare,Do,583810
essere,to be,582628
so,I know,576344
quando,when,566220
sì,Yes,561011
ora,Now,559590
lei,she,554384
gli,the,550741
ne,neither,545511
oh,Oh,536995
questa,this,534612
detto,said,530015
ok,ok,513655
va,it goes,507886
perche,why,489341
quello,that,485627
mai,never,477108
alla,at the,469810
o,or,468425
anche,also,467913
stato,state,462618
abbiamo,we have,443684
tutti,all,442057
dei,of the,437381
grazie,thank you,436103
chi,who,432988
sta,is,432121
molto,Very,430250
più,more,424219
voglio,I want,421594
perché,Why,417508
tuo,your,415427
beh,well,415077
sia,is,410543
nel,in the,402628
lui,he,400840
allora,so,394873
posso,I can,394735
piu,more,394239
ehi,hey,390822
prima,Before,387026
tua,your,382254
suo,his,381756
niente,nothing,376096
qualcosa,something,375353
sai,you know,374989
siamo,we are,373550
un',a,370792
cosi,as,369960
davvero,really,362026
ancora,still ,357766
hanno,they have,357477
stai,you are,356920
fa,does,356906
sua,her,354383
così,Like this,351367
casa,home,349304
uno,one,345353
dove,where is it,344643
su,on,340528
vero,real ,337704
vuoi,do you want,334292
noi,we,329262
due,two,328195
quindi,so,327478
dire,to say,315462
d',d ',312992
delle,of the,310943
quella,that,296929
sempre,always,293460
altro,other,292721
sto,this,290409
andare,to go,289404
ad,to,287858
po,bit,282817
loro,They,278369
devo,I have to,277618
quel,that,275369
forse,perhaps,270956
li,there,268514
proprio,own,265256
certo,Certain,264768
tempo,time,260978
nella,in,255595
poi,then,254985
vi,you,253715
credo,I believe,249237
vita,life,248223
cose,what's this,248094
sul,on,246230
quanto,how much,244964
puoi,you can,244689
fuori,out,244593
anni,years,244192
cui,which,242757
andiamo,here we go,239851
dell',of,238490
parte,part,237878
visto,view,237793
qualcuno,someone,232548
all',at,230349
lavoro,work,227975
voi,you,227702
ciao,Hello,225358
dio,God,225110
volta,time,224925
dopo,after,219627
adesso,now,217200
stata,was,216946
uomo,man,216269
padre,father,211947
devi,you have to,207895
bisogno,need,207740
gia,already,205703
amico,friend,205236
ed,and,203015
posto,place,201344
nessuno,nobody,198499
via,Street,196759
cos',so,196526
fai,do,195314
signore,man,192704
meglio,better,190791
cazzo,fuck,190133
dai,come on,187292
dal,from the,186438
vuole,wants,185134
sembra,it seems,185098
giorno,day,182690
ogni,every,180604
modo,way,180304
senza,without,180036
vedere,see,179423
dobbiamo,we have to,179373
signor,Mr,177154
qualche,some,176926
dispiace,sorry,176847
penso,I think,174213
ecco,there,173039
parlare,speak,166324
tra,between,165237
mamma,mom,164145
già,already,164090
sarebbe,would be,161625
dalla,from the,161488
troppo,too much,161296
fosse,is,159796
possiamo,We can,159449
ce,there is,159445
nuovo,new,159184
male,bad,158724
madre,mother,158668
avete,you have,158581
tanto,much,158527
favore,favor,157525
successo,success,157392
vai,Go,156443
sulla,on the,155948
giusto,right,155910
sa,know,154585
miei,my,154222
aspetta,wait,151942
avere,to have,151301
altra,other,150803
farlo,to do it,150609
alle,to,149069
facendo,doing,149009
abbia,have,148510
momento,moment,146779
ero,I was,145812
aveva,had,143513
ragazzi,Boys,143228
deve,needs to,141717
persone,people,140564
nostro,our,140377
tipo,guy,139082
prego,You are welcome,138775
grande,great,138400
può,can  ,136302
senti,feel,136056
appena,as soon as,135684
potrebbe,could,135454
soldi,money,135293
dice,He says,134285
sapere,know,133642
tre,three,132830
oggi,today,132722
questi,these,131893
piace,like it,131518
idea,idea,130009
siete,you are,129317
ai,to the,129235
avevo,I had,129167
figlio,son,129115
accordo,agreement,129100
gente,people,129045
sicuro,safe,128972
vieni,Come,128608
degli,of the,126852
guarda,look,125602
dentro,inside,124725
trovato,found,123977
queste,these,123323
caso,case,123317
forza,force,122800
dov',where to,122180
tutte,all,121576
pensi,think,120588
signora,lady,120368
faccio,I do,119853
nome,first name,119807
avuto,had,119366
problema,problem,119026
altri,other,118858
puo,can he,118841
aver,have,118732
mondo,world,118133
tutta,all,117856
preso,taken ,117634
nulla,nothing,117293
nostra,our,116902
donna,woman,116773
stare,to stay,116354
basta,enough,115835
insieme,together,115108
faccia,face,114861
ragazza,girl,114359
subito,immediately,113842
famiglia,family,113327
ragazzo,lad,113236
volevo,I wanted,112989
okay,okay,111028
sentito,heard,110086
ah,Ah,109801
stesso,same,108783
ragione,reason,108483
sarà,Sara,107998
tuoi,your,107623
capito,understood,107460
notte,night,107292
volte,times,106818
testa,head,106617
serve,serve,106161
tesoro,treasure,106015
sotto,under,106013
eh,eh,104575
suoi,his,104470
vado,I'm going,104383
sara,will be,103404
dato,given,102947
stiamo,we are,102944
bella,beautiful,102872
scusa,excuse me,101934
erano,were,101700
pensavo,I thought,101441
avrei,I would have,101264
prendere,to take,100586
buona,good,100038
porta,brings,98021
bello,nice,97844
moglie,wife,97797
vorrei,I would like,97478
storia,history,97342
succede,happens,97183
morto,died,97060
cercando,looking for,95366
dici,you say,95354
persona,person,95254
pronto,ready,94258
meno,less,93373
dovuto,due,93267
avanti,come on,91453
capisco,I understand,91340
secondo,according to,90669
venire,to come,90399
polizia,police,90196
lì,there,89911
avrebbe,it would have,88617
stanno,they are,88329
mentre,while,87853
letto,read,87334
fino,until,87029
